Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
Momento 24;Matienzo 2565, 6º Piso, Of. D - (1426) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
Necochea News;*;Interés general;Digital;Necochea;Buenos Aires;Interés general;0
Notibaires.com;*;Interés general;Digital;La Plata;Buenos Aires;Interés general;0
Noticias y Protagonista;*;Interés general;Digital;Mar del Plata;Buenos Aires;Interés general;0
NoticiasNet;Avda. Caseros y México - (8500) Viedma - Río Negro, Argentina ;Interés general;Digital;Viedma;Río Negro;Interés general;0
NOTIFE;1 de Mayo 3634 - Santa Fe, Argentina;Interés general;Digital;*;Santa Fe;Interés general;0
Opciones Pilar;Victor Vergani 476 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Revista;Pilar;Buenos Aires;Interés general;0
Para Ti Mamá;Azopardo 579 - (1107) Ciudad Autónoma de Buenos Aires, Argentina;Mujer;Revista;;Capital Federal;Mujer;0
Pilar News;Cattaneo 832 - (1629) Pilar - Buenos Aires, Argentina ;Interés general;Periódico;Pilar;Buenos Aires;Interés general;0
Pilar News (Digital);Cattaneo 832 - (1629) Pilar - Buenos Aires, Argentina ;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
Pilar.com.ar;*;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
Pilarcity.com;*;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
PlusInformación;*;Interés general;Digital;La Plata;Buenos Aires;Interés general;0
Portal SnWeb ;*;Interés general;Digital;San Nicolás de los Arroyos;Buenos Aires;Interés general;0
Portales Médicos.com;*;Salud;Digital;;Capital Federal;Salud;0
Prensa Regional;Puerto Principe 333 - (1629) Pilar - Buenos Aires, Argentina;Interés general;Periódico;Pilar;Buenos Aires;Interés general;0
Prodiario.com;*;Interés general;Digital;*;Santa Fe;Interés general;0
Continental;Rivadavia 835 - (1002) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
El Diario;*;Interés general;Periódico;Carmen de Areco;Buenos Aires;Interés general;0
PuntoBIZ;Rioja 1065 piso 3 - (2000) Rosario - Santa Fe, Argentina;Economía;Digital;Rosario;Santa Fe;Economía;0
Puntonoticias;*;Interés general;Digital;Mar del Plata;Buenos Aires;Interés general;0
Quilmes Presente ;*;Interés general;Digital;Quilmes;Buenos Aires;Interés general;0
FM 102.1 - Radio 10;*;Interés general;Radio;Mar del Plata;Buenos Aires;Interés general;0
AM 810 / FM 97.9 - Mitre;Av. Fernando Fader 3469 - (5009) Cerro Las Rosas - Córdoba, Argentin;Interés general;Radio;Córdoba;Córdoba;Interés general;0
FM 92.5 - Volcánica;*;Interés general;Radio;Caviahue;Neuquén;Interés general;0
"Revista ""Sarmiento es""";*;Interés general;Revista;Capitán Sarmiento;Buenos Aires;Interés general;0
Revista Creadores ;*;Interés general;Revista;Carmen de Areco;Buenos Aires;Interés general;0
Revista de Adecra;*;Interés general;Revista;;Capital Federal;Interés general;0
Revista El Distrito;*;Interés general;Revista;Tigre;Buenos Aires;Interés general;0
La Nación Revista;Bouchard 557 - (1106) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Revista;;Capital Federal;Interés general;0
Revista La Zona;*;Interés general;Revista;Carmen de Areco;Buenos Aires;Interés general;0
Revista Médicos;Paseo Colón 1632, 7º Piso, Of. D - (1063) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Revista;;Capital Federal;Salud;0
Revista NèA;Avenida Quaranta 4307 - (3300) Posadas - Misiones, Argentina;Interés general;Revista;Posadas;Misiones;Interés general;0
Revista Paradigma;Edificio Concord, Sector Rubi 1111, Colectora Acceso Norte Km. 49,5 - (1629) Pilar, Buenos Aires, Argentina;Interés general;Revista;Pilar;Buenos Aires;Interés general;0
