Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
FM 88.1 - Punta;Av. 9 de Julio 43 piso 4 Of. D - Neuquén - Neuquén , Argentina ;Musica;Radio;Neuquen;Neuquén;Música;1
FM 88.3 - Astral;*;*;Radio;Rafaela;Santa Fe;*;0
FM 88.3 - Horizonte;*;*;Radio;San Luis;San Luis;*;0
FM 88.3 - La Fabrica;*;Bailable;Radio;Elortondo;Santa Fé;Bailable;0
FM 88.5 - Del Valle;*;Interés general;Radio;Viedma;Rio Negro;Interés general;0
FM 88.5 - La Estacion;*;*;Radio;Luis Beltrán;Rio Negro;*;0
FM 88.5 - Mundo;*;Música;Radio;Salta;Salta;Música;0
FM 88.5 - Patria;Alberdi y las Rosas - (3018) Recreo Sur - Santa Fe, Argentina;Interés general;Radio;Recreo;Santa Fe;Interés general;0
FM 88.5 - Qbik;Jose Rosas 430 B - (8300) Neuquén - Neuquén, Argentina;Musica;Radio;Neuquén;Neuquén;Música;1
FM 88.7 - Club;*;Interés general;Radio;Rosario;Santa Fe ;Interés general;0
FM 88.7 - Fleming;Cordoba 176 - Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 88.7 - Sol;*;Interés general;Radio;Peyrano;Santa Fe;Interés general;0
FM 88.9 - Bella Italia;*;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 88.9 - Estacion Q;*;Interés general;Radio;Quines;San Juan;Interés general;0
FM 88.8 - Onda Latina;Tomás Lubary 784 - (3013) San Carlos Centro - Santa Fe, Argentina;Música;Radio;S Carlos Centro;Santa Fe;Música;0
FM 88.9 - Suyay;*;Musica;Radio;Neuquén;Neuquen;Música;1
FM 88.9 - Time;*;Interés general;Radio;Laguna Paiva;Santa Fé;Interés general;0
FM 89.1 - Tiempo;Italia esq. Madre Cabrini - (5730) Villa Mercedes - San Luis, Argentina;Interés general;Radio;Villa Mercedes;San Luis;Interés general;0
FM 89.1 - Universo;Calle 25 de Mayo 1621 - (9420) Rio Grande - Tierra del Fuego, Argentina;*;Radio;Rio Grande;Tierra del Fuego;*;0
FM 89.3 - La 20;*;Interés general;Radio;Perez;Santa Fe;Interés general;0
FM 89.3 - Lider;Alberdi 226 - La Banda - Santiago del Estero, Argentina;Interés general;Radio;La Banda;Santiago del Estero;Interés general;0
FM 89.5 - FM Ya;25 de Mayo 52 - Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 89.5 - Reflejos;*;Música;Radio;Ing Huergo;Rio Negro;Música;0
FM 89.5 - Total;Mexico 570 - (8332) General Roca - Rio Negro, Argentina;Interés general;Radio;General Roca;Río Negro;Interés general;0
FM 89.7 - Centro;*;Religión;Radio;Villa la Angostura;Neuquén;Religión;0
FM 89.7 - Galas;España 286 oficina 13 - Cipolletti - Rio Negro, Argentina;Interés general;Radio;Neuquén;Neuquen;Interés general;0
FM 89.7 - Record;*;Interés general;Radio;Santo Tomé;Santa Fe;Interés general;0
FM 89.7 - Valentino;Victor Manuel 250 (interno) Barrio Alberdi - Rafaela - Santa Fe, Argentina;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 89.9 - M90;*;Música;Radio;Rosario;Santa Fe;Música;0
FM 90.1 - Ecoradio;*;*;Radio;Rosario;Santa Fe;*;0
FM 90.1 - Firmat;Buenos Aires 1225 - Firmat - Santa Fe, Argentina;Interés general;Radio;Firmat;Santa Fé;Interés general;0
FM 90.1 - Noventa;*;Interés general;Radio;Villa Regina;Rio Negro;Interés general;0
FM 90.1 - Radio 21;*;Música;Radio;Caleta Olivia;Santa Cruz;Música;0
FM 90.1 - Sat;*;*;Radio;Rio Gallegos;Santa Cruz;*;0
FM 90.1 - Universo;*;Música;Radio;Rafaela;Santa Fe;Música;0
FM 90.1 - VYP;Alvaro Barros 283 piso 1º - Viedma - Rio Negro, Argentina;Interés general;Radio;Viedma;Rio Negro;Interés general;0
FM 90.3 - Horizonte;9 de Julio 78 - (2523) Bouquet - Santa Fe,  Argentina.;Interés general;Radio;Bouquet;Santa Fe;Interés general;0
FM 90.3 - Horizonte;*;Música;Radio;Cinco Saltos;Río Negro;Música;0
FM 90.3 - Popular;*;Música;Radio;Luis Beltrán;Rio Negro;Música;0
FM 90.5 - Cadena Mana;*;*;Radio;El Calafate;Santa Cruz;*;0
FM 90.5 - Justina;Chacabuco y Saavedra - Alvarez - Santa. Fe, Argentina;Interés general;Radio;Alvarez;Santa Fe;Interés general;0
FM 90.7 - Eclipse;*;Música;Radio;Santa Fe;Santa Fe;Música;0
FM 90.7 - Las Cumbres;*;Música;Radio;Villa La Angostura;Neuquén;Música;0
FM 90.7 - Rdv del Valle;Carlos H. Rodríguez 364, piso 10 - Neuquén - Neuquén, Argentina;Interés general;Radio;Neuquén;Neuquén;Interés general;0
FM 90.9 - Cadena 9;Av. de los Césares 2346, Rincón del Este - Villa de Merlo - San  Luis, Argentina;Interés general;Radio;Villa de Merlo;San Juan;Interés general;0
FM 90.9 - Ciudad;*;Interés general;Radio;Caucete;San Juan;Interés general;0
FM 90.9 - Galaxy;*;Interés general;Radio;S Clara de Buena Vista;Santa Fe;Interés general;0
FM 90.9 - Impacto;Bahía Blanca 935, Bº Belgrano - (8300) Neuquén - Neuquén, Argentina;Interés general;Radio;Neuquen;Neuquen;Interés general;0
FM 90.9 - Sol;Blas Olivero al 562 - Rafaela - Santa Fe, Argentina;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 90.9 - Uno;*;Interés general;Radio;Vera;Santa Fe;Interés general;0
FM 91.1 - Cielo;13 de Diciembre 340 - San Jorge - Santa Fe, Argentina;Música;Radio;San Jorge;Santa Fe;Música;0
FM 91.1 - Mural;*;Interés general;Radio;Cipoletti;Río Negro;Interés general;0
FM 91.1 - Nuestra;*;*;Radio;San Luis;San Luis;*;0
FM 91.1 - Radio Uno ;*;*;Radio;Joaquín V González;Salta;*;0
FM 91.1 - San Gregorio;*;Interés general;Radio;San Gregorio;Santa Fe;Interés general;0
FM 91.3 - Cadena Latina;*;Música;Radio;San Juan;San Juan;Música;0
FM 91.3 - Estación;*;*;Radio;General Güemes;Salta;*;0
FM 91.3 - Estación Terrena;Guillelmo 920 - San Carlos de Bariroche - Rio Negro, Argentina;Interés general;Radio;San Carlos de Bariloche;Río Negro;Interés general;0
FM 91.3 - Malvinas;*;Interés general;Radio;General Roca;Río Negro;Interés general;0
FM 91.3 - Panamericana Stereo;*;*;Radio;Rufino;Santa Fe;*;0
FM 91.3 - Pehuenia (Municipal);*;*;Radio;Villa Pehuenia;Neuquén;*;0
FM 91.5 - Alternativa;*;*;Radio;Ceres;Santa Fe;*;0
FM 91.5 - Criolla;*;*;Radio;Rosario;Santa Fe;*;0
FM 91.5 - Sol Sport;*;Interés general;Radio;Santa Fe;Santa Fe;Interés general;0
FM 91.7 - Estilo;Mitre 1095 - (2124) Villa Gobernador Galvez - Santa Fe, Argentina;Interés general;Radio;Villa Gdor Gálvez;Santa Fe;Interés general;0
FM 91.7 - Oasis;Perito Moreno 1242 - Firmat - Santa Fé, Argentina;Religión;Radio;Firmat;Santa Fé;Religión;0
FM 91.7 - Santa Cecilia;Calle Jujuy, Casa 11 Mza A , Bª Dique I - Ullum (5409)- San Juan, Argentina;Interés general;Radio;Ullún;San Juan;Interés general;0
FM 91.9 - Del Sol;*;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 91.9 - Factory;San Martín 1183 - (3560) Reconquista - Santa Fe, Argentina;Interés general;Radio;Reconquista;Santa Fe;Interés general;0
FM 92.1 - Ciudad;*;Interés general;Radio;Sana Fe;Santa Fe ;Interés general;0
FM 92.1 - Del Lago;Mansilla 2668 - (1425) Ciudad Autónoma de Buenos Aires, Argentina;Música;Radio;San Carlos de Bariloche;Río Negro;Música;0
FM 92.1 - Departamental;*;Interés general;Radio;San Justo;Santa Fe;Interés general;0
FM 92.1 - FM92;Almirante Brown 190 - Roldán - Santa Fe, Argentina;Interés general;Radio;Roldán;Santa Fe;Interés general;0
FM 92.1 - Integración;*;Interés general;Radio;Viedma;Rio Negro;Interés general;0
FM 92.1 - La 92;*;Interés general;Radio;San Cristóbal;Santa Fe;Interés general;0
FM 92.1 - Nostalgia;*;Interés general;Radio;Venado Tuerto;Santa Fe;Interés general;0
FM 92.3 - Del Rey;*;Interés general;Radio;Neuquén;Neuquén;Interés general;0
FM 92.3 - Educativa;Roca 1432 - Rio Gallegos - Santa Cruz, Argentina;Interés general;Radio;Rio Gallegos;Santa Cruz;Interés general;0
FM 92.3 - Max;*;*;Radio;San Juan;San Juan;*;0
FM 92.3 - Millenium;San Martín 944 , P.A., of.18 - (2919) Villa Constitución - Santa Fe, Argentina;Interés general;Radio;Villa Constitución;Santa Fe;Interés general;0
FM 92.3 - Norte;*;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 92.3 - Radio A;Avda. Placios 1225 - (4530) Orán - Salta, Argentina;Interés general;Radio;S Ramon Nva Orán;Salta;Interés general;0
FM 92.2 - Radio M;Rivadavia 836 - Río Grande - Tierra del Fuego, Argentina;Interés general;Radio;Rio Grande;Tierra del Fuego;Interés general;0
FM 92.5 - Ciudad;*;Interés general;Radio;Termas Rio Hondo;Santiago del Estero;Interés general;0
FM 92.5 - FM 92.5;*;Interés general;Radio;Villa Gobernador Gálvez;Santa Fe;Interés general;0
FM 92.5 - La Costa ;*;Interés general;Radio;Choele Choel;Río Negro;Interés general;0
FM 92.5 - Tropical;*;Música;Radio;Salta;Salta;Música;0
FM 92.5 - Vida;Pte. Perón 3553 - Fortín Olmos, Departamento Vera - Santa Fe, Argentina;Interés general;Radio;Fortín Olmos;Santa Fé;Interés general;0
FM 92.7 - Betania;*;Religión;Radio;Neuquén;Neuquén;Religión;0
FM 92.7 - FM AZ;Colon 1256, local 4 - Rosario - Santa Fe, Argentina;*;Radio;Rosario;Santa Fe;*;0
FM 92.7 - Libre;*;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 92.7 - San Diego;*;Interés general;Radio;Rio Gallegos;Santa Cruz;Interés general;0
FM 92.9 - Pacifico;*;Interés general;Radio;Salta;Salta;Interés general;0
FM 92.9 - Pueblo Viejo;*;Agro;Radio;Stefenelli;Río Negro;Agro;0
FM 92.9 - Quitapenas;*;*;Radio;Barrancas;Santa Fe;*;0
FM 92.9 - Shopping;*;Música;Radio;San Luis;San Luis ;Música;0
FM 92.9 - Sonica;Bv. América 873 ,El Trébol, Santa Fé, Argentina;Interés general;Radio;El Trébol;Santa Fé;Interés general;0
FM 92.9 - Universidad Nac de Santiago del Estero;Avenida Belgrano(s) 1912 - (4200) Santiago del Estero - Santiago del Estero, Argentina;Interés general;Radio;Santiago del Estero;Santiago del Estero;Interés general;0
FM 93.1 - Atlantica Sur;Echeverria 29 - (9420) Rio Grande - Tierra del Fuego, Argentina;Interés general;Radio;Rio Grande;Tierra del Fuego;Interés general;0
FM 93.1 - Ciclos;*;Interés general;Radio;Pico Truncado;Santa Cruz;Interés general;0
FM 93.1 - Impacto;*;*;Radio;Gaona;Salta;*;0
FM 93.1 - Manantial;*;Interés general;Radio;Embarcación;Salta;Interés general;0
FM 93.1 - Stylo;J. M. Bullo 1065 - (3070) San Cristóbal - Santa Fe, Argentina;Interés general;Radio;San Cristóbal;Santa Fe;Interés general;0
FM 93.3 - Espacial;*;Interés general;Radio;Santa Fe;Santa Fe;Interés general;0
FM 93.3 - La Jungla;Topa Topa 125, 1º piso, oficina D, esquina Las Fucsias - Villa La Angostura - Neuquén, Argentiina;Interés general;Radio;Villa La Angostura;Neuquén;Interés general;0
FM 93.3 - Mitre ;Santiago del Estero 1274 - (4400) Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 93.3 - Norte;*;Interés general;Radio;Rufino;Santa Fe ;Interés general;0
FM 93.3 - Patagonia Andina;*;Interés general;Radio;El Bolsón;Río Negro;Interés general;0
FM 93.5 - Antena 5;*;Interés general;Radio;Progreso;Santa Fe;Interés general;0
FM 93.5 - Austral;*;*;Radio;Caleta Olivia;Santa Cruz;*;0
FM 93.5 - Cosmos;*;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 93.5 - La Radio;Córdoba 535 - (2202) Puerto General San Martín - Santa Fe, Argentina;Interés general;Radio;Puerto Gral San Martín;Santa Fe;Interés general;0
FM 93.5 - Shekina;Salta 1535 - General Roca - Rio Negro, Argentina;Religión;Radio;General Roca;Río Negro;Religión;0
FM 93.7 - Altar de Adoración;Roberto Cavanagh 564 - Venado Tuerto - Santa Fe, Argentina;*;Radio;Venado Tuerto;Santa Fe;*;0
FM 93.7 - Del Sol;*;*;Radio;Villa Regina;Río Negro;*;0
FM 93.7 - Digital;*;*;Radio;Joaquín V González;Salta;*;0
FM 93.9 - Frecuencia Impacto;*;Interés general;Radio;Villa Gobernador Gálvez;Santa Fe ;Interés general;0
FM 93.9 - Raices de mi Tierra;O Higgins 520 - Rafaela - Santa Fe, Argentina;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 93.9 - Sensación;España - (2240) Coronda - Santa Fe, Argentina;*;Radio;Coronda;Santa Fé;*;0
FM 93.9 - Universidad Salta;Avda. Bolivia 5150 - (4400) Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 94.1 - Eli-Ezer;*;Religión;Radio;Villa Regina;Rio Negro;Religión;0
FM 94.1 - Estacion;*;Interés general;Radio;Villa Mercedes;San Luis;Interés general;0
FM 94.1 - Milenium;*;Música;Radio;Rosario;Santa Fe;Música;0
FM 94.1 - NYC;Rotary 23 casa 443 - Caleta Olivia - Santa Cruz, Argentina;Música;Radio;Caleta Olivia;Santa Cruz;Música;0
FM 94.4 - Radio On;9 de Julio 670 - (2643) Chañar Ladeado - Santa Fe, Argentina ;Interés general;Radio;Chañar Ladeado;Santa Fe;Interés general;0
FM 94.3 - Antena Nueve;*;Interés general;Radio;Tostado;Santa Fe;Interés general;0
FM 94.3 - La Wapa;Alte. Brown 1457 - Cañada de Gómez - Santa Fe, Argentina;Música;Radio;Cañada de Gómez;Santa Fe;Música;0
FM 94.3 - Luna;Sarmiento 66, 2º piso, of. 5 - Neuquén - Neuquén, Argentina;*;Radio;Neuquén;Neuquén;*;0
FM 94.3 - Mixer;Avenida Luis Fanti 1040 - (2300) Rafaela - Santa Fe Argentina;Música;Radio;Rafaela;Santa Fe;Música;0
FM 94.5 - Cadena sur;Nonthué 136 - San Martín de los Andes - Neuquén, Argentina;Interés general;Radio;San Martín de los Andes;Neuquén;Interés general;0
FM 94.5 - Dynamis;*;Religión;Radio;Rawson;San Juan;Religión;0
FM 94.5 - La Cima;*;Interés general;Radio;General Roca;Rio Negro;Interés general;0
FM 94.5 - Latina;San Luis 935 EP oficina 10 - (2000) Rosario - Santa Fe, Argentina;Interés general;Radio;Rosario;Santa Fe;Interés general;0
FM 94.5 - Radio Ciudad;Av. Olascoaga 560 - Cutral Có - Neuquén, Argentina;Música;Radio;Cutral Có;Neuquén;Música;0
FM 94.7 - Brother;Victor Manuel 250 - Rafaela - Santa Fe, Argentina;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 94.7 - Ciudad;Alberdi 1122 - (2138) Carcaraña - Santa Fe, Argentina;Interés general;Radio;Carcaraña;Santa Fe;Interés general;0
FM 94.7 - Juventud;*;Interés general;Radio;Santa Fe;Santa Fe;Interés general;0
FM 94.9 - El Chocon;*;Interés general;Radio;Villa el Chocón;Neuquén;Interés general;0
FM 94.9 - Patagonia;Irene de Neira  1652 - General Roca - Rio Negro, Argentina;Música;Radio;General Roca;Rio Negro;Música;0
FM 95.1 - Alas;*;Interés general;Radio;Catriel;Rio Negro;Interés general;0
FM 95.1 - Cafayate;Chacabuco 144 - (4427) Cafayate - Salta, Argentina;Interés general;Radio;Cafayate;Salta;Interés general;0
FM 95.1 - Los Toldos;*;*;Radio;Salta;Salta;*;0
FM 95.1 - Mercedes;Pedernera 336 1° Piso - (5730) Villa Mercedes - San Luis, Argentina;Interés general;Radio;Villa Mercedes;San Luis;Interés general;0
FM 95.1 - Terra;San Martin 65 - San Luis - San Luis, Argentina;Interés general;Radio;San Luis;San Luis;Interés general;0
FM 95.1 - Unica;*;Religión;Radio;Santa Fe;Santa Fe;Religión;0
FM 95.1 - Uno;*;*;Radio;Sn José de Metán;Salta;*;0
FM 95.3 - Andina;Bv. Pascotto 165, Piso 1, Of.4 - Villa La angostura - Neuquén, Argentina;Interés general;Radio;Villa La Angostura;Neuquén;Interés general;0
FM 95.3 - La Voz del Desierto;*;Religión;Radio;Neuquén;Neuquén;Religión;0
FM 95.3 - Sur;San Martin 655, Bº Aeroparque - Cutral Có - Neuquén, Argentina;*;Radio;Cutral Có;Neuquén;*;0
FM 95.3 - Universal;Centro Cultural Entre Ríos 510 - San Lorenzo - Santa Fe, Argentina;Interés general;Radio;San Lorenzo;Santa Fe;Interés general;0
FM 95.3 - Woman;*;Interés general;Radio;Casilda;Santa Fe;Interés general;0
FM 95.5 - Corazón;*;Interés general;Radio;Rosario;Santa Fe;Interés general;0
FM 95.5 - Estación del Sol;*;Música;Radio;Tacuarendí;Santa Fe;Música;0
FM 99.5 - Gigante;Calle 23  865 - Avellaneda - Santa Fe, Argentina;Interés general;Radio;Avellaneda;Santa Fe ;Interés general;0
FM 95.5 - Libertad;*;*;Radio;Pichanal;Salta;*;0
FM 95.5 - Maxima;*;Interés general;Radio;Ceres;Santa Fe;Interés general;0
FM 95.5 - Radio City;Alvear 61, piso 1, of B - Rafaela - Santa Fe, Argentina;Música;Radio;Rafaela;Santa Fe;Música;0
FM 95.5 - Soon;Av. Rivadavia 1180 - (3060)Tostado - Santa Fe, Argentina;Interés general;Radio;Tostado;Santa Fe;Interés general;0
FM 95.5 - Special;*;Interés general;Radio;Carlos Pellegrini;Santa Fé;Interés general;0
FM 95.7 - De Las Estrellas;*;Interés general;Radio;Santiago del Estero;Santiago del Estero;Interés general;0
FM 95.7 - Del Valle;*;Interés general;Radio;La Toma;San Luis;Interés general;0
FM 95.7 - Mas;*;Interés general;Radio;Caleta Olivia;Santa Cruz ;Interés general;0
FM 95.7 - NoventaYCincoSiete;*;Interés general;Radio;Santa Fe;Santa Fe;Interés general;0
FM 95.7 - Bloke;*;Música;Radio;Neuquén;Neuquén;Música;0
FM 95.9 - La 95.9;Av. Colombia 991 Este - San Juan - San Juan, Argentina;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 95.9 - La Diosa;*;*;Radio;Zapala;Neuquén;*;0
FM 95.5 - Master;*;*;Radio;Pilar;Santa Fe;*;0
FM 95.9 - SNOW;*;Música;Radio;Villa La Angostura;Neuquén;Música;0
FM 95.9 - Sonic;*;Interés general;Radio;Villa Cañas;Santa Fe;Interés general;0
FM 95.9 - Terremoto;Corrientes 258 Bº Cooperativa - Cutral Có - Neuquén, Argentina.;Música;Radio;Cutral Có;Neuquén;Música;0
FM 96.1 - Horizonte;Roque Saenz Peña Nº 61 - (2447) San Vicente - Santa Fe, Argentina;Interés general;Radio;San Vicente;Santa Fe;Interés general;0
FM 96.1 - Metropolitan;Avenida de Cincuentenario 552 - Maria Susana - Santa Fe, Argentina;Interés general;Radio;Maria Susana;Santa Fe;Interés general;0
FM 96.3 - Del Sol;Av.Dos Venados 1349 - Villa de Merlo - San Luis, Argentina;Música;Radio;Villa de Merlo;San Luis;Música;0
FM 96.3 - Express;*;Interés general;Radio;Santiago del Estero;Santiago del Estero;Interés general;0
FM 96.3 - Génesis;*;Interés general;Radio;Villa Ocampo;Santa Fe;Interés general;0
FM 96.3 - Glam;*;Interés general;Radio;Salta;Salta;Interés general;0
FM 96.3 - Strass;*;Interés general;Radio;San Justo;Santa Fe ;Interés general;0
FM 96.3 - Super;*;Interés general;Radio;General Roca;Rio Negro;Interés general;0
FM 96.5 - Amanecer ;*;Interés general;Radio;Catriel;Rio Negro;Interés general;0
FM 96.5 - Cadena 2000;*;Interés general;Radio;Ceres;Santa Fe;Interés general;0
FM 96.5 - KMFM;Km. 14 ruta al LLao Llao, Paraje Laguna Fantasma - Bariloche - Rio Negro, Argentina;Interés general;Radio;San Carlos de Bariloche;Río Negro;Interés general;0
FM 96.5 - Latina;*;Música;Radio;Junin de los Andes;Neuquén;Música;0
FM 96.5 - Mitre;*;Interés general;Radio;Rosario;Santa Fe;Interés general;0
FM 96.5 - San Jorge;*;Interés general;Radio;Caleta Olivia;Santa Cruz ;Interés general;0
FM 96.7 - Armonia;*;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 96.7 - La Cigarra;Alsina 886 - Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 96.9 - Gabriela G;*;Música;Radio;Allen;Río Negro;Música;0
FM 96.9 - La 97;Cordoba 459 - (9420) Rio Grande - Tierra del Fuego, Argentina;Interés general;Radio;Rio Grande;Tierra del Fuego;Interés general;0
FM 96.9 - Nativa;Calle 44 Nro 850  Barrio Parque Industrial - (3560) Reconquista - Santa Fe, Argentina.;Interés general;Radio;Reconquista;Santa Fe;Interés general;0
FM 97.1 - Agua Fresca;*;*;Radio;Viedma;Rio Negro;*;0
FM 97.1 - Alas;Honduras 873 .1 local 8 y 9 - Centenario -  Neuquén, Argentina;*;Radio;Centenario;Neuquén;*;0
FM 97.1 - Ciudad;*;Música;Radio;Pueblo Esther;Santa Fe;Música;0
FM 97.1 - Cristiandad;*;Religión;Radio;San Luis;San Luis;Religión;0
FM 97.1 - Guapel;*;*;Radio;Salvador Mazza;Salta;*;0
FM 97.1 - Hora Prima;Calle nº 9999 - (9011) Caleta Olivia - Santa Cruz, Argentina;Interés general;Radio;Caleta Olivia;Santa Cruz;Interés general;0
FM 97.1 - Intensidad;Salta 178 - Cafayate - Salta, Argentina;Interés general;Radio;Cafayate;Salta;Interés general;0
FM 97.1 - Luz;Alberdi 2066 - (2508) Armstrong - Santa Fe, Argentina;Interés general;Radio;Armstrong;Santa Fe;Interés general;0
FM 97.1 - Luz;Dr. FarrÃ¡n 1190 - (3580) V. Ocampo - Santa Fe, Argentina;Interés general;Radio;Villa Ocampo;Santa Fe;Interés general;0
FM 97.1 - Norte;T. N MZA 13 CASA 15 - (8300) Neuquén - Neuquén, Argentina;*;Radio;Neuquén;Neuquén;*;0
FM 97.1 - Recuerdos;*;Cultural y Musical;Radio;Fray Luis Beltrán;Santa Fé;Cultural y Musical;0
FM 97.3 - Amistad;*;*;Radio;Salta;Salta;*;0
FM 97.3 - Boing;*;*;Radio;Rosario;Santa Fe;*;0
FM 97.3 - Chañar;Islas Malvinas Nº 69 - (4560) Tartagal - Salta, Argentina;Interés general;Radio;Tartagal;Salta;Interés general;0
FM 97.3 - Vox;*;Música;Radio;San José de Jáchal;San Juan;Música;0
FM 97.5 - Ella;*;Interés general;Radio;Malabrigo;Santa Fé;Interés general;0
FM 97.5 - Estacion;*;Interés general;Radio;San Carlos de Bariloche;Rio Negro;Interés general;0
FM 97.5 - La Nueva Estacion;*;*;Radio;San Luis;San Luis;*;0
FM 97.5 - Norte;Lerma 244 - Salta - Salta, Argentina;Interés general;Radio;Salta;Salta;Interés general;0
FM 97.7 - 97 Punto 7;Pasaje Dr. Serra, 2. 46004 VALENCIA;Interés general;Radio;El Calafate;Santa Cruz;Interés general;0
FM 97.7 - Cadena EME;*;Interés general;Radio;Villa Ocampo;Santa Fe;Interés general;0
FM 97.7 - Capital;*;Interés general;Radio;Salta;Salta;Interés general;0
FM 97.7 - Nuestra;*;*;Radio;Centenario;Neuquén;*;0
FM 97.7 - Victoria;San Martin 451 - Cutral Có - Neuquén, Argentina;*;Radio;Cutral Có;Neuquén;*;0
FM 97.9 - Estación Q;*;Interés general;Radio;Viedma;Rio Negro;Interés general;0
FM 97.9 - Génesis;Mariano Moreno 1169 - (3011) San Jerónimo Norte - Santa Fe, Argentina;Interés general;Radio;S Jerónimo Norte;Santa Fe;Interés general;0
FM 97.9 - La Tropi;*;Bailable;Radio;Santa Fe;Santa Fe;Bailable;0
FM 97.9 - Monumental;*;Interés general;Radio;Venado Tuerto;Santa Fe;Interés general;0
FM 97.9 - Privada;*;*;Radio;San Juan;San Juan;*;0
FM 97.9 - Radio Total;*;Música;Radio;Salta;Salta;Música;0
FM 97.9 - STILO;Rivadavia 1084 - (3555) Romang - Santa Fe, Argentina;Interés general;Radio;Romang;Santa Fe;Interés general;0
FM 97.9 - Vida;Jamaica 788 - (8309) Centenario - Neuquén, Argentina;Interés general;Radio;Centenario;Neuquén;Interés general;0
FM 98.1 - FM 98.1;25 de Mayo 2300 - Santa Fe - Santa Fe,  Argentina;Interés general;Radio;Santa Fe;Santa Fe;Interés general;0
FM 98.1 - La Barcaza;*;Interés general;Radio;Cervantes;Río Negro;Interés general;0
FM 98.1 - Popular;*;Interés general;Radio;Santiago del Estero;Santiago del Estero;Interés general;0
FM 98.1 - Spacio;Calle 1° de mayo 1556 - (3009) Franck - Santa Fe, Argentina;Interés general;Radio;Franck;Santa Fé;Interés general;0
FM 98.3 - Amigos;B º Mutual Casa 84 - (9011) Caleta Olivia - Santa Cruz, Argentina.;Interés general;Radio;Caleta Olivia;Santa Cruz;Interés general;0
FM 98.3 - Intercom;Calle 1° De Mayo 173 - Joaquín V. Gonzalez, Anta - Salta, Argentina;Interés general;Radio;Joaquín V González;Salta;Interés general;0
FM 98.5 - Antena 1;*;Interés general;Radio;San Juan;San Juan;Interés general;0
FM 98.5 . Cadena Popular;*;Interés general;Radio;San Luis;San Luis;Interés general;0
FM 98.5 - Del Sol;Avenida del Trabajo 247 - Cutral Có - Neuquén, Argentina;Interés general;Radio;Cutral Có;Neuquén;Interés general;0
FM 98.5 - El Leader;*;Interés general;Radio;Las Toscas;Santa Fé;Interés general;0
FM 98.5 - Equis;3 de Febrero 364 - (8361) Luis Beltrán - Rio Negro, Argentina;Interés general;Radio;Luis Beltrán;Río Negro;Interés general;0
FM 98.5 - Iguana;Rivadavia 2929 - (3080) Esperanza - Santa Fé, Argentina;Interés general;Radio;Esperanza;Santa Fé;Interés general;0
FM 98.5 - Norte;*;Interés general;Radio;San Javier;Santa Fe;Interés general;0
FM 98.5 - Positiva;*;Interés general;Radio;Sumampa;Santiago del Estero;Interés general;0
FM 98.5 - Show;*;Interés general;Radio;General Roca;Río Negro;Interés general;0
FM 98.7 - Estación del Centro;Primero de Mayo 2346 - Casilda (2170) - Santa Fe, Argentina;Interés general;Radio;Casilda;Santa Fe;Interés general;0
FM 98.7 - Galena;General Paz 340 - (2300) Rafaela - Santa Fe, Argentina;Interés general;Radio;Rafaela;Santa Fe;Interés general;0
FM 98.7 - San Martín;San Martín 309 - (4190) Rosario de la Frontera - Salta, Argentina;Interés general;Radio;Rosario de la frontera;Salta;Interés general;0
FM 98.7 - Vida;Alberdi 533 - San José de la Esquina - Santa Fe, Argentina;Interés general;Radio;San Jóse de la Esquina;Santa Fe;Interés general;0
FM 98.9 - Cadena Del Interior;Pedernera 1149 - (5730) V. Mercedes - San Luis. Argentina;Interés general;Radio;Villa Mercedes;San Luis;Interés general;0
FM 98.9 - Ciudad;*;Interés general;Radio;San Luis;San Luis;Interés general;0
FM 98.9 - La 10;Jose Mercado 479 - Zapala - Neuquén, Argentina;Música;Radio;Zapala;Neuquén;Música;0
FM 98.9 - Mágica;*;*;Radio;Salvador Mazza;Salta;*;0
FM 98.9 - Mega Exitos;*;Interés general;Radio;Sierra Grande;Rio Negro;Interés general;0
FM 98.9 - NQN;*;Interés general;Radio;Neuquén;Neuquén;Interés general;0
FM 98.9 - Rio Gallegos;*;Interés general;Radio;Rio Gallegos;Santa Cruz;Interés general;0
FM 98.9 - Universo;*;Música;Radio;Cutral Có;Neuquén;Música;0
