"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"Coronel Dorrego","Interés general","Televisión","1.0"
"Coronel Pringles","Agropecuario","Digital","1.0"
"Coronel Pringles","Agropecuario","Periódico","1.0"
"Coronel Pringles","Interés general","Digital","5.0"
"Coronel Pringles","Interés general","Periódico","3.0"
"Coronel Pringles","Interés general","Radio","6.0"
"Coronel Pringles","Interés general","Televisión","4.0"
"Coronel Pringles","Religión","Radio","1.0"
"Coronel Suárez","Interés general","Digital","2.0"
"Coronel Suárez","Interés general","Periódico","1.0"
"Coronel Suárez","Interés general","Radio","9.0"
"Coronel Suárez","Interés general","Televisión","1.0"
"Coronel Vidal","Interés general","Radio","1.0"
"Costa Azul","*","Radio","1.0"
"Costa Azul","Interés general","Radio","1.0"
"Cuartel V., Moreno","Interés general","Radio","1.0"
"Daireaux","Interés general","Digital","1.0"
"Daireaux","Interés general","Periódico","2.0"
"Daireaux","Interés general","Radio","4.0"
"Daireaux","Interés general","Televisión","1.0"
"Darregueira","Interés general","Radio","2.0"
"Del Viso","Cultural y Musical","Revista","1.0"
"Del Viso","Interés general","Periódico","2.0"
"Del Viso","Interés general","Televisión","1.0"
"Derqui","Interés general","Periódico","2.0"
"Dolores","Interés general","Digital","1.0"
"Dolores","Interés general","Periódico","2.0"
"Dolores","Interés general","Radio","8.0"
"Dolores","Interés general","Televisión","1.0"
"Don Torcuato","Interés general","Periódico","1.0"
"Don Torcuato","Interés general","Radio","3.0"
"Don Torcuato","Música","Radio","1.0"
"El Jagüel","*","Radio","1.0"
"El Palomar","Interés general","Periódico","1.0"
"El Palomar","Interés general","Radio","1.0"
"El Pato","Interés general","Periódico","1.0"
"El Socorro","Interés general","Radio","1.0"
"El Talar, Tigre","Interés general","Radio","1.0"
"Ensenada","Interés general","Digital","2.0"
"Ensenada","Interés general","Periódico","1.0"
"Ensenada","Interés general","Radio","4.0"
"Escobar","*","Radio","1.0"
"Escobar","Interés general","Digital","1.0"
"Escobar","Interés general","Periódico","1.0"
"Escobar","Interés general","Radio","5.0"
"Escobar","Interés general","Televisión","1.0"
"Esteban Echeverría","Interés general","Periódico","1.0"
"Exaltación de la Cruz","Interés general","Digital","1.0"
"Ezeiza","Interés general","Digital","2.0"
"Ezeiza","Interés general","Periódico","2.0"
"Ezeiza","Interés general","Radio","1.0"
"Felipe Solá","Interés general","Radio","1.0"
"Florencio Varela","*","Radio","1.0"
"Florencio Varela","Folclore","Radio","1.0"
"Florencio Varela","Interés general","Digital","3.0"
"Florencio Varela","Interés general","Periódico","2.0"
"Florencio Varela","Interés general","Radio","5.0"
"Florencio Varela","Música","Radio","1.0"
"Florentino Ameghino","Interés general","Digital","1.0"
"Florida","*","Revista","1.0"
"Florida","Interés general","Periódico","1.0"
"Florida","Interés general","Radio","2.0"
"Florida","Interés general","Televisión","1.0"
"Francisco Álvarez","Interés general","Radio","2.0"
"Fray Mrto. Esquiú","Interés general","Radio","1.0"
"Garín","Interés general","Radio","1.0"
"Garré","Interés general","Radio","1.0"
"G de Laferrere","Folclore","Radio","1.0"
"G. de Laferrere","Deportes","Digital","1.0"
"G. de Laferrere","Folclore","Radio","1.0"
"G. de Laferrere","Música","Radio","1.0"
"G. de Laferrere","Religión","Radio","1.0"
"General Alvarado","*","Digital","1.0"
"General Alvarado","*","Periódico","1.0"
"General Alvear","Interés general","Radio","1.0"
"General Alvear","Interés general","Televisión","1.0"
"General Arenales","Interés general","Radio","3.0"
"General Belgrano","Interés general","Digital","2.0"
"General Belgrano","Interés general","Periódico","2.0"
"General Belgrano","Interés general","Radio","4.0"
"General Belgrano","Interés general","Televisión","1.0"
"General Belgrano","Música","Radio","1.0"
"General Las Heras","Interés general","Radio","1.0"
"General Madariaga","Interés general","Digital","1.0"
"General Madariaga","Interés general","Periódico","1.0"
"General Madariaga","Interés general","Radio","2.0"
"General Madariaga","Interés general","Televisión","1.0"
"General Pacheco","Interés general","Periódico","1.0"
"General Pinto","Interés general","Radio","1.0"
"General Rodríguez","Interés general","Digital","3.0"
"General Rodríguez","Interés general","Periódico","3.0"
"General Rodríguez","Interés general","Radio","3.0"
"General San Martín","Interés general","Periódico","1.0"
"General San Martín","Interés general","Radio","3.0"
"General Viamonte","Interés general","Periódico","1.0"
"General Villegas","Interés general","Digital","1.0"
"General Villegas","Interés general","Periódico","1.0"
"General Villegas","Interés general","Radio","3.0"
"General Villegas","Interés general","Televisión","1.0"
"Glew","Folclore","Radio","1.0"
"Glew","Música","Radio","1.0"
"Gonzales Chaves","Interés general","Radio","2.0"
"Gonzáles Chaves","Interés general","Digital","1.0"
"Gonzáles Cháves","Interés general","Radio","1.0"
"Gonzales Chávez","Interés general","Radio","1.0"
"Gonzalez Catán","Interés general","Digital","1.0"
"González Catán","*","Radio","1.0"
"González Chávez","Interés general","Periódico","1.0"
"Gral. Alvarado","Interés general","Digital","1.0"
"Gral. Alvear","Interés general","Digital","1.0"
"Gral. Alvear","Interés general","Radio","1.0"
"Gral. Belgrano","Interés general","Digital","1.0"
"Gral. Lamadrid","Interés general","Digital","2.0"
"Gral. Lamadrid","Interés general","Radio","1.0"
"Gral Las Heras","Interés general","Digital","1.0"
"Gral. Las Heras","Interés general","Radio","1.0"
"Gral. Lavalle","Interés general","Radio","2.0"
"Gral. Madariaga","Interés general","Periódico","2.0"
"Gral. Madariaga","Interés general","Radio","1.0"
"Gral. Pacheco","Interés general","Digital","1.0"
"Gral. Pacheco","Interés general","Revista","1.0"
"Gral. Pacheco","Música","Radio","1.0"
"Gral. Pinto","Interés general","Digital","1.0"
"Gral. Pinto","Interés general","Radio","1.0"
"Gral. Rodriguez","Interés general","Digital","1.0"
"Gral. Rodriguez","Interés general","Radio","4.0"
"Gral. Rodríguez","Interés general","Radio","1.0"
"Gral. Rojo","Interés general","Televisión","1.0"
"Gral. San Martín","*","Digital","1.0"
"Gral. Villegas","Interés general","Digital","2.0"
"Gral. Villegas","Interés general","Periódico","1.0"
"Gral. Villegas","Interés general","Radio","5.0"
"Gregorio de Laferrere","Interés general","Radio","2.0"
"Guaminí","Interés general","Radio","1.0"
"Guernica","Interés general","Radio","2.0"
"Haedo","Automóviles","Periódico","1.0"
"Haedo","Interés general","Agencia","1.0"
"Haedo","Interés general","Radio","1.0"
"Henderson","*","Radio","1.0"
"Henderson","Interés general","Radio","1.0"
"Huanguelén","Interés general","Radio","3.0"
"Hurlingham","Interés general","Digital","6.0"
"Hurlingham","Interés general","Periódico","4.0"
"Hurlingham","Interés general","Radio","5.0"
"Hurlingham","Interés general","Revista","1.0"
"Hurlingham","Música","Radio","1.0"
"Indio Rico","Interés general","Digital","1.0"
"Indio Rico","Interés general","Radio","1.0"
"Isidro Casanova","Interés general","Radio","4.0"
"Isidro Casanova","Religión","Radio","4.0"
"Isidro Casanova, La Matanza","Interés general","Radio","1.0"
"Ituzaingó","*","Revista","1.0"
"Ituzaingó","Interés general","Digital","2.0"
"Ituzaingó","Interés general","Periódico","2.0"
"Ituzaingó","Interés general","Radio","6.0"
"Jáuregui","Interés general","Radio","1.0"
"J. B. Alberdi","Interés general","Digital","1.0"
"J. B. Alberdi","Interés general","Radio","1.0"
"José C. Paz","Interés general","Digital","1.0"
"José C. Paz","Interés general","Radio","4.0"
"José Ingeniero","Interés general","Televisión","1.0"
"José Ingenieros","*","Periódico","1.0"
"José León Suárez","Interés general","Radio","5.0"
"José León Suárez","Religión","Radio","1.0"
"Junín","Cultural y Musical","Digital","1.0"
"Junín","Deportes","Digital","1.0"
"Junín","Interés general","Digital","9.0"
"Junín","Interés general","Periódico","4.0"
"Junín","Interés general","Radio","18.0"
"Junín","Interés general","Televisión","1.0"
"Junín","Música","Radio","4.0"
"Junín","Religión","Radio","1.0"
"La Dulce","Interés general","Radio","2.0"
"La Lucila","Interés general","Digital","1.0"
"La Matanza","*","Digital","1.0"
"La Matanza","Interés general","Digital","1.0"
"La Matanza","Interés general","Periódico","1.0"
"La Matanza","Interés general","Radio","1.0"
"Lanús","*","Radio","1.0"
"Lanús","Deportes","Radio","1.0"
"Lanús","Folclore","Digital","1.0"
"Lanús","Interés general","Digital","1.0"
"Lanús","Interés general","Periódico","3.0"
"Lanús","Interés general","Radio","9.0"
"Lanús","Interés general","Televisión","3.0"
"Lanús","Religión","Radio","1.0"
"Lanús Oeste","Interés general","Radio","1.0"
"La Paz","*","Radio","1.0"
"La Plata","*","Radio","2.0"
"La Plata","*","Revista","1.0"
"La Plata","Agropecuario","Digital","1.0"
"La Plata","Arte","Digital","1.0"
"La Plata","Arte","Revista","1.0"
"La Plata","Comunicación","Agencia","1.0"
"La Plata","Comunicación","Revista","1.0"
"La Plata","Decoración","Digital","1.0"
"La Plata","Economía","Digital","1.0"
"La Plata","Interés general","Agencia","2.0"
"La Plata","Interés general","Digital","24.0"
"La Plata","Interés general","Periódico","7.0"
"La Plata","Interés general","Radio","32.0"
"La Plata","Interés general","Revista","1.0"
"La Plata","Interés general","Suplementos","2.0"
"La Plata","Interés general","Televisión","2.0"
"La Plata","Música","Radio","3.0"
"La Plata","Propiedades","Digital","1.0"
